,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,speaker
0,0,-430.0914,46.44619,19.908724,18.681509,6.8602066,8.223965,0.47295907,-0.1847513,-6.014475,0.6217889,-4.7410774,-2.5675528,-6.154846,-1.4115762,-2.8901906,-6.7851844,-2.1930861,-5.6576133,-4.9728637,-6.9818473,-5.7006288,-5.8328595,-3.9508545,-4.5116878,-2.8501515,-1.8281056,-1.2602398,0.6383629,-0.088580206,-0.75457335,-1.2691079,-2.1148405,-1.5585117,-1.0941176,-1.3849269,-0.094697334,-0.4785184,-0.35535216,0.74407184,1.4937222,1
1,1,-407.5229,60.311943,21.766947,25.488987,4.886191,8.68088,-2.3431609,-1.5881131,-9.237796,1.5107281,-5.758578,-4.0689244,-8.091243,-0.8383987,-3.9404569,-9.075403,-0.9183667,-8.08823,-5.3973784,-7.884689,-7.1523767,-7.1062255,-3.7441156,-4.7970185,-2.1234448,0.7128406,-0.7744657,1.648165,-0.23144308,-2.6465874,-2.4960055,-4.2395186,-2.5757093,-0.5421869,-2.0042968,-0.089969344,-0.51780236,2.5444598,3.3444586,1.71197,1
2,2,-427.89276,53.040348,20.245531,23.329714,6.0552793,10.220951,-1.9212397,0.39915842,-9.622457,3.0588112,-6.9776406,-1.5718149,-8.074682,-0.7746149,-3.6350853,-8.493918,-1.2679031,-8.508823,-6.1634464,-7.512775,-4.6359563,-5.5815516,-1.0411903,-1.5892438,-0.20981786,0.38606486,-1.1679167,-1.7209015,-2.9139388,-3.758435,-2.102481,-3.7954628,-3.536743,-1.9592642,-3.6772025,-0.34428558,0.7324714,1.595295,2.3412254,2.21314,1
3,3,-483.89987,43.960743,17.601645,17.005375,3.3715708,8.620068,-0.5019569,-0.79906684,-8.0891695,1.2763877,-4.2889023,0.0445917,-6.6009746,-0.8272899,-3.0303364,-7.2760878,-0.28530216,-6.151247,-5.730772,-7.553081,-4.350557,-5.6783705,-3.7230053,-3.1272695,-3.1161184,-2.2058613,0.7557069,1.336264,2.1734154,2.0448952,0.26835144,-0.3608921,-1.949036,-2.0125098,-1.8327014,-0.36351162,-0.8284007,1.2430208,1.7993883,3.7832823,1
4,4,-411.9586,51.938656,18.27205,22.267841,3.8463097,8.492927,-1.8589233,-0.22019759,-6.712553,1.8141956,-6.4834323,-0.61505234,-8.0377245,-0.7263157,-2.2843404,-10.297489,-0.9700672,-7.272897,-6.2293215,-7.0837555,-5.963766,-6.615656,-3.857874,-3.509181,-1.8115952,-0.7988272,-0.36297983,-0.24110131,-3.0766983,-2.7927873,-2.1808581,-1.7707556,2.577958,4.1040053,3.2700808,3.2680533,0.18461233,-1.6909295,-2.5811107,-2.6879427,1
5,5,-399.5939,62.449844,20.717125,21.843243,1.3579463,6.379413,-2.1688766,-2.6862214,-9.44893,-0.56434375,-6.5657506,-3.1262572,-9.460815,-1.8338904,-4.313295,-10.2674465,-1.7833229,-9.124161,-6.0375285,-8.295493,-7.251217,-7.1006517,-4.6202126,-4.3676963,-2.4598505,-0.502318,0.26241854,2.691487,1.5605634,1.7205179,0.0913566,-1.9841151,-1.6210953,-2.4822052,-2.45974,-0.17983294,-1.5297532,-0.19803959,-0.78280944,-0.34120095,1
6,6,-380.42407,79.891884,31.436602,19.802893,-1.2104921,3.2021713,-5.137967,-0.26373762,-10.739339,-1.0688123,-8.353712,-3.0151901,-10.030105,-3.8076887,-5.1547437,-11.142219,-2.399745,-9.362421,-7.266527,-7.85337,-6.7068257,-6.5159426,-3.2848568,-3.1878073,-0.5211928,0.42013502,-0.2804549,-0.85298836,-2.8484783,-1.5927321,0.8594278,2.1425443,4.8728523,3.5273273,0.7798279,0.32829383,-2.3860915,-1.553989,-1.623618,-1.1870449,1
7,7,-429.08096,45.297195,16.549294,16.09,1.9412062,6.2421656,-2.1974952,-0.03721431,-7.8417077,0.930864,-4.650116,-1.8164265,-7.4582977,-2.55093,-4.305064,-8.390084,-2.2118044,-7.6363583,-5.4547844,-6.539744,-5.902688,-4.649665,-2.148636,-2.5921228,0.47042036,0.42158332,-1.0622426,-1.4313854,-2.203556,-2.139808,-1.2001084,-1.4092306,-0.6233321,1.1145977,1.6919652,4.1642494,3.1251948,1.1320019,-1.4660509,-2.1891062,1
8,8,-422.82422,49.70121,18.60149,16.892696,1.7528118,8.442463,-2.8854985,1.2330751,-8.76816,1.801192,-5.863504,-1.265677,-7.6635942,-2.598305,-2.9372818,-8.442986,-1.5966276,-6.809981,-5.6738296,-7.4491634,-5.197562,-4.9445868,-2.3638053,-2.5401006,-0.6037909,-0.63161623,-0.110040404,-0.28881127,-1.8439647,-1.4493835,-0.67108685,-2.109943,-1.8397388,-0.8218407,-2.544367,-0.5834333,-0.6827971,0.020210207,-0.14498901,-0.01606322,1
9,9,-419.45053,48.051666,11.87533,13.637208,-0.26375827,4.756537,-1.460361,-0.7583146,-7.23553,0.8171178,-3.9322062,-1.939018,-7.6993775,-2.2775247,-3.785521,-8.415927,-2.5213847,-7.545943,-5.4269953,-6.6053905,-5.43822,-4.4491525,-1.9548211,-2.8288283,0.24953473,1.6593142,0.9899764,0.8363903,-0.9262504,-1.2432904,-1.1678525,-1.8402578,-1.3102292,0.4964975,-1.4421749,-0.5107679,-1.2030749,-0.24872114,-0.20757769,-0.4707733,1
